iter	RMSE
0	0.6489816876
1	0.6186755369
2	0.5895463471
3	0.5630476939
4	0.5372496534
5	0.5135182802
6	0.4915492919
7	0.4707081086
8	0.4515595277
9	0.433994079
10	0.4171428781
11	0.4019067572
12	0.387365272
13	0.372659935
14	0.3589818464
15	0.3467611783
16	0.3350411041
17	0.3237261746
18	0.3133821224
19	0.3033829397
20	0.2950785448
21	0.2871955236
22	0.2795652379
23	0.2728999643
24	0.2662919748
25	0.2602430044
26	0.2544237626
27	0.2492765802
28	0.2444854151
29	0.2395716888
30	0.2353165697
31	0.2316315241
32	0.2277200872
33	0.2244453246
34	0.2211965841
35	0.217463185
36	0.2141732812
37	0.2113899099
38	0.2086520034
39	0.2059649913
40	0.203424054
41	0.2011476947
42	0.1991322422
43	0.1974784178
44	0.195817167
45	0.1940330971
46	0.1924214602
47	0.1910400665
48	0.189595668
49	0.1883310109
50	0.1870930708
51	0.1859254415
52	0.1849288476
53	0.184182962
54	0.1831959472
55	0.1822477342
56	0.1813846526
57	0.1806615151
58	0.1798680584
59	0.1791804885
60	0.1783384099
61	0.1777166343
62	0.1770488752
63	0.1765954225
64	0.1760324686
65	0.1754038171
66	0.1746760645
67	0.1742870159
68	0.1737322386
69	0.1733085092
70	0.1728872087
71	0.1724439384
72	0.1720895528
73	0.1717092211
74	0.1713468439
75	0.1710377989
76	0.1707200042
77	0.1702884261
78	0.1701578588
79	0.1697572797
80	0.1694256654
81	0.1690562432
82	0.1687266356
83	0.1683533468
84	0.1680362936
85	0.1675953773
86	0.1673705824
87	0.1670437903
88	0.1668834362
89	0.1667235618
90	0.1665589631
91	0.166270901
92	0.1660170196
93	0.165825105
94	0.1655205207
95	0.1652560627
96	0.1650358273
97	0.1646749292
98	0.164350921
99	0.1641006825
100	0.163851361
101	0.163502615
102	0.1632952796
103	0.1629701299
104	0.1627206828
105	0.1623349852
106	0.1619725144
107	0.161669468
108	0.161412835
109	0.1610825174
110	0.1610696208
111	0.1608790786
112	0.1605836798
113	0.1602892227
114	0.1600764932
115	0.159927878
116	0.1597021158
117	0.1595683004
118	0.15946759
119	0.1592532896
120	0.1590404869
121	0.1588883019
122	0.1587287133
123	0.158552251
124	0.1583695798
125	0.1582878121
126	0.1581736939
127	0.1579801408
128	0.1577288266
129	0.1576442539
130	0.1575331255
131	0.1573996055
132	0.1572064431
133	0.1570599009
134	0.1568466901
135	0.1566419927
136	0.1564960638
137	0.1563740966
138	0.1561732911
139	0.1561593638
140	0.1559900248
141	0.155888609
142	0.1557282836
143	0.1556548095
144	0.1556473018
145	0.1554333397
146	0.1553361993
147	0.1552158074
148	0.1549664621
149	0.1548548891
150	0.1547156458
151	0.1544817688
152	0.1543815732
153	0.1540645571
154	0.1539228478
155	0.1537939946
156	0.1536688587
157	0.1535131098
158	0.1533854885
159	0.1531528906
160	0.1529976117
161	0.1528321139
162	0.1526093739
163	0.1524497544
164	0.1523964608
165	0.1520853798
166	0.1519715468
167	0.1518736147
168	0.1517327833
169	0.1516380147
170	0.151506424
171	0.1513256615
172	0.1512063581
173	0.1509727921
174	0.1508867342
175	0.1506860226
176	0.1505311992
177	0.1504256816
178	0.1503985726
179	0.1502130504
180	0.150101854
181	0.1499529919
182	0.1498610435
183	0.1496880256
184	0.1495709513
185	0.1494292061
186	0.1492735873
187	0.1492216309
188	0.1491924727
189	0.1491420348
190	0.1490413228
191	0.1489110794
192	0.1487767819
193	0.1487757996
194	0.14861642
195	0.1485483233
196	0.148525069
197	0.1484454018
198	0.1482823192
199	0.1481793114
200	0.1480510155
201	0.1479662047
202	0.1478163413
203	0.1477614751
204	0.1476178685
205	0.147559599
206	0.1474426425
207	0.1474201373
208	0.1474168088
209	0.1473913174
210	0.1472723048
211	0.1472201142
212	0.1471664309
213	0.1470732832
214	0.14692473
215	0.1468506713
216	0.1468221547
217	0.1467739125
218	0.1467328429
219	0.1466696662
220	0.1465786784
221	0.1465234668
222	0.1463893917
223	0.1463028587
224	0.1463017107
225	0.1462541084
226	0.1461353473
227	0.1460010029
228	0.1458896768
229	0.1458426197
230	0.1457101373
231	0.1456108521
232	0.1455424443
233	0.1454563291
234	0.1454147476
235	0.1453685101
236	0.14525119
237	0.1452160068
238	0.1450675634
239	0.1449563212
240	0.1448183892
241	0.1447121646
242	0.1446383087
243	0.1445712797
244	0.1444837676
245	0.1443770376
246	0.1443447827
247	0.144201792
248	0.1441061997
249	0.1440720517
250	0.1440648901
251	0.1439856464
252	0.1439075456
253	0.1437828603
254	0.1437004802
255	0.1435968475
256	0.1434518954
257	0.1434499348
258	0.143447932
259	0.143347746
260	0.1432884044
261	0.1432581621
262	0.1432121463
263	0.1431425093
264	0.1430483048
265	0.1429793765
266	0.1428539254
267	0.1427464527
268	0.1426898599
269	0.1425395872
270	0.1424263012
271	0.1423521378
272	0.1422322684
273	0.1421187687
274	0.1420342434
275	0.1418916685
276	0.1418896803
277	0.1417407547
278	0.1416520704
279	0.141517779
280	0.1413947266
281	0.1413270035
282	0.1412427013
283	0.1410863745
284	0.1409440256
285	0.1409080682
286	0.1407852008
287	0.1407636372
288	0.140674891
289	0.1406339396
290	0.1405514926
291	0.1404738957
292	0.1403688777
293	0.140294432
294	0.1402595798
295	0.1402123371
296	0.1400990971
297	0.1400278834
298	0.1399176052
299	0.1398383673
300	0.1397285291
301	0.1396788238
302	0.1395524512
303	0.1395033137
304	0.1393627585
305	0.1392911068
306	0.1392424048
307	0.1391083492
308	0.1389858562
309	0.1389334315
310	0.1388335423
311	0.1387733813
312	0.1386551792
313	0.1386012215
314	0.1385832476
315	0.1385641556
316	0.1384616818
317	0.1383965097
318	0.1383486924
319	0.138300962
320	0.1381975325
321	0.1381376618
322	0.1380590764
323	0.1379763689
324	0.1379016719
325	0.1378439465
326	0.1377921868
327	0.137773972
328	0.1377224766
329	0.1376533389
330	0.1375063459
331	0.1374283719
332	0.1373278771
333	0.1372763966
334	0.1372107881
335	0.1371921131
336	0.1371010678
337	0.1370372389
338	0.137020955
339	0.1369478579
340	0.1369188982
341	0.1368942719
342	0.1368209944
343	0.136731506
344	0.1366579511
345	0.1366040593
346	0.1365879785
347	0.1365243316
348	0.1364274342
349	0.1363394845
350	0.1362515153
351	0.1361582786
352	0.1361424566
353	0.1360345067
354	0.1359677355
355	0.1359368528
356	0.1358809885
357	0.1358204037
358	0.1357300165
359	0.135680443
360	0.1355549706
361	0.1355447587
362	0.1354849975
363	0.1354475109
364	0.1353717935
365	0.1352898026
366	0.1352208251
367	0.135168215
368	0.1350630777
369	0.1350156261
370	0.134946623
371	0.1349104071
372	0.1348674075
373	0.134856547
374	0.1347786732
375	0.1346537962
376	0.1346428611
377	0.1345158162
378	0.1344875314
379	0.1343968375
380	0.1343369336
381	0.1342211826
382	0.1341527156
383	0.1341273099
384	0.1340804484
385	0.1339560472
386	0.1338961231
387	0.1337782527
388	0.1337348744
389	0.1337002893
390	0.1335424972
391	0.1335019836
392	0.133428412
393	0.1333656424
394	0.1333435893
395	0.1333023006
396	0.1332469838
397	0.1331670198
398	0.1330774119
399	0.1330087454
400	0.1329114525
401	0.1328414893
402	0.1327659723
403	0.1326656657
404	0.1326366776
405	0.1325394787
406	0.1324484754
407	0.1324305793
408	0.1323900691
409	0.1323150499
410	0.1322638005
411	0.13220481
412	0.1321343216
413	0.1320522549
414	0.1319492013
415	0.131941197
416	0.1319405109
417	0.1318580936
418	0.1318139061
419	0.1317753117
420	0.1317734056
421	0.1316800684
422	0.1316460442
423	0.1315992676
424	0.1315796612
425	0.1315209271
426	0.1314158414
427	0.1313752703
428	0.1312236952
429	0.1311618329
430	0.1311046855
431	0.1310757123
432	0.1309807121
433	0.1309171386
434	0.1308734614
435	0.1308157841
436	0.1307389398
437	0.1306758142
438	0.130601117
439	0.1305081317
440	0.1304455836
441	0.1304449664
442	0.1303855513
443	0.1303374431
444	0.130312109
445	0.1302823561
446	0.1302546143
447	0.1302366314
448	0.130153395
449	0.1300888785
450	0.1300296063
451	0.1299952849
452	0.1299693305
453	0.1299428973
454	0.1299012864
455	0.1298479499
456	0.1298247233
457	0.1297872765
458	0.1297637861
459	0.1296768943
460	0.1296576163
461	0.1295490873
462	0.1294286794
463	0.1293340068
464	0.1293029934
465	0.1292169232
466	0.1291959576
467	0.1291447236
468	0.1291300066
469	0.1290386533
470	0.1289526094
471	0.1288936987
472	0.1288308053
473	0.1287157036
474	0.1286856299
475	0.1286387298
476	0.1285416142
477	0.1284915307
478	0.1284735826
479	0.1284268106
480	0.1283806372
481	0.1283056675
482	0.1282351239
483	0.1282252813
484	0.1281716283
485	0.1281098872
486	0.1280679945
487	0.1279840272
488	0.1278853326
489	0.1278157968
490	0.1276596228
491	0.1276093478
492	0.1275425803
493	0.1275042861
494	0.1274504007
495	0.1273993188
496	0.1273275006
497	0.127279272
498	0.1272543966
499	0.127218617
500	0.1271645436
501	0.1271234804
502	0.1270956277
503	0.1270293813
504	0.126970546
505	0.1269449065
506	0.1268972843
507	0.1268646806
508	0.1267641113
509	0.1267005678
510	0.1266611725
511	0.1266033395
512	0.1265711874
513	0.1265340081
514	0.1265100197
515	0.1264458466
516	0.1263784748
517	0.1263324479
518	0.126249701
519	0.1261704361
520	0.126135973
521	0.1260489635
522	0.1260277344
523	0.1260147109
524	0.1259462871
525	0.1259060994
526	0.125890793
527	0.1258726416
528	0.1258473627
529	0.1257981379
530	0.1257691558
531	0.1256727837
532	0.1256404444
533	0.1256270378
534	0.1255861833
535	0.1254761907
536	0.1254757617
537	0.125452312
538	0.1253913742
539	0.1253114155
540	0.1252195001
541	0.1251606628
542	0.1251188077
543	0.1250320388
544	0.1249565737
545	0.1248964768
546	0.1248380871
547	0.1247752434
548	0.1247527644
549	0.1247230413
550	0.1246618653
551	0.1246051755
552	0.1245724102
553	0.1245335229
554	0.1244913536
555	0.1244625347
556	0.1244064834
557	0.1243832575
558	0.1242960007
559	0.1242458006
560	0.1242219172
561	0.1241416829
562	0.1240913094
563	0.1240874682
564	0.1240744393
565	0.1240283698
566	0.123943095
567	0.1238614338
568	0.123858302
569	0.1238156324
570	0.1238002418
571	0.123736306
572	0.1236968629
573	0.1236432548
574	0.123623248
575	0.1235912339
576	0.1235492826
577	0.1235246703
578	0.1234798074
579	0.1233872571
580	0.1233582868
581	0.123318154
582	0.1232458282
583	0.1231931393
584	0.1231702773
585	0.1231066887
586	0.1230443822
587	0.1229858308
588	0.1229643497
589	0.122919573
590	0.1229055464
591	0.1228340596
592	0.1227561811
593	0.1227210925
594	0.1226782507
595	0.1226502256
596	0.1225984637
597	0.1225599768
598	0.1225084909
599	0.1224752094
600	0.1223979182
601	0.1223554489
602	0.122299783
603	0.1222607527
604	0.1222266675
605	0.1222089678
606	0.1221733059
607	0.1220849436
608	0.1220256273
609	0.1219636814
610	0.1218517911
611	0.1218161553
612	0.121751356
613	0.1217290349
614	0.1216826616
615	0.1216715682
