iter	Passed	Remaining
0	216	259516
1	277	166476
2	344	137266
3	406	121608
4	470	112507
5	536	106714
6	597	101871
7	657	97958
8	719	95199
9	752	89504
10	789	85319
11	820	81215
12	884	80740
13	944	80025
14	1008	79648
15	1072	79399
16	1136	79067
17	1200	78843
18	1262	78498
19	1325	78183
20	1391	78124
21	1455	77939
22	1515	77564
23	1577	77298
24	1641	77127
25	1705	77027
26	1769	76874
27	1832	76711
28	1892	76403
29	1954	76218
30	2014	75969
31	2072	75657
32	2132	75402
33	2194	75249
34	2254	75038
35	2314	74822
36	2376	74689
37	2436	74503
38	2495	74284
39	2552	74023
40	2610	73793
41	2668	73584
42	2727	73384
43	2772	72831
44	2829	72622
45	2887	72431
46	2945	72257
47	3006	72148
48	3088	72551
49	3156	72593
50	3222	72609
51	3305	72978
52	3390	73380
53	3436	72925
54	3514	73168
55	3583	73197
56	3644	73091
57	3710	73051
58	3772	72959
59	3834	72858
60	3898	72785
61	3964	72765
62	4024	72625
63	4088	72563
64	4148	72432
65	4209	72324
66	4270	72210
67	4328	72059
68	4393	72010
69	4453	71896
70	4512	71755
71	4570	71604
72	4635	71559
73	4695	71451
74	4751	71272
75	4811	71155
76	4870	71028
77	4928	70900
78	4957	70342
79	5018	70254
80	5074	70107
81	5136	70037
82	5197	69942
83	5253	69799
84	5312	69691
85	5371	69573
86	5429	69461
87	5487	69341
88	5546	69233
89	5605	69134
90	5667	69071
91	5729	69001
92	5788	68897
93	5846	68793
94	5909	68739
95	5970	68657
96	6032	68595
97	6089	68473
98	6149	68387
99	6209	68300
100	6266	68189
101	6324	68081
102	6382	67977
103	6447	67950
104	6505	67838
105	6563	67737
106	6624	67670
107	6684	67588
108	6745	67517
109	6802	67406
110	6816	66871
111	6875	66788
112	6935	66716
113	7046	67127
114	7103	67017
115	7161	66926
116	7220	66831
117	7277	66730
118	7338	66659
119	7396	66571
120	7454	66477
121	7512	66383
122	7570	66286
123	7627	66186
124	7687	66109
125	7744	66015
126	7790	65820
127	7849	65737
128	7906	65644
129	7967	65579
130	8027	65504
131	8085	65418
132	8149	65378
133	8206	65286
134	8263	65191
135	8322	65111
136	8381	65029
137	8441	64960
138	8501	64892
139	8514	64468
140	8572	64387
141	8630	64302
142	8690	64239
143	8751	64180
144	8769	63805
145	8826	63717
146	8884	63643
147	8943	63572
148	9000	63489
149	9059	63417
150	9119	63354
151	9177	63278
152	9238	63222
153	9295	63140
154	9353	63060
155	9413	63000
156	9470	62915
157	9530	62850
158	9588	62774
159	9649	62721
160	9707	62644
161	9765	62573
162	9826	62516
163	9884	62442
164	9946	62390
165	10005	62325
166	10067	62276
167	10129	62223
168	10189	62162
169	10253	62122
170	10309	62040
171	10370	61978
172	10426	61896
173	10486	61834
174	10545	61766
175	10607	61714
176	10666	61648
177	10726	61587
178	10753	61335
179	10809	61256
180	10871	61204
181	10929	61133
182	10987	61060
183	11045	60990
184	11102	60916
185	11163	60860
186	11222	60791
187	11280	60721
188	11337	60648
189	11398	60590
190	11459	60538
191	11519	60478
192	11576	60403
193	11590	60105
194	11649	60037
195	11710	59984
196	11767	59912
197	11826	59848
198	11884	59781
199	11946	59730
200	12007	59679
201	12066	59616
202	12124	59548
203	12182	59481
204	12244	59428
205	12303	59366
206	12364	59315
207	12424	59257
208	12447	59022
209	12511	58985
210	12569	58916
211	12628	58853
212	12686	58787
213	12747	58734
214	12804	58664
215	12865	58607
216	12926	58554
217	12982	58481
218	13041	58417
219	13098	58349
220	13157	58283
221	13215	58221
222	13276	58168
223	13337	58114
224	13368	57928
225	13428	57872
226	13487	57810
